Organization type,Role in organization,Size of IT department,Customer organization type,Estimated  duration,Development type,Application domain,Object points,Other sizing method,Contract maturity,Government policy impact,Economic instability impact,Organization management structure clarity,Developer hiring policy,Developer incentives policy ,Developer training,Development team management,Top management support,Top management opinion of previous system,Clarity of manual system,User resistance,User computer experience, Users stability , Requirment stability , Requirements flexibility ,Project manager experience,Consultant availability,DBMS  expert availability,Precedentedness,Software tool experience,Programmers experience in programming language,Programmers capability ,Team selection,Team size,Daily working hours,Team contracts,Team continuity ,Team cohesion,Income satisfaction,Schedule quality,Development environment adequacy,Tool availability ,Methodology,# Multiple programing languages ,Programming language used,DBMS used,Technical stability,Open source software,Level of outsourcing,Degree of software reuse ,Degree of risk management,Use of standards, Process reengineering ,Requirement accuracy level,Technical documentation,Comments within the code,User manual,Required reusability,Performance requirements,Product complexity,Security requirements,Reliability requirements,Specified H/W,Effort
-1.0,0.0,0.14285715,-0.7,1.0,0.0,-0.8,1.8166939,-1.0,-0.6666667,-1.0,1.5,0.0,0.33333334,0.0,0.0,0.0,-1.0,-1.0,-0.33333334,-1.25,-1.0,0.8314608,0.5811518,0.0,0.0,-1.0,0.0,0.6666667,0.0,-0.5,-1.0,0.0,0.6666667,1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-2.0,0.5,0.0,0.0,-0.49438217,0.0,0.6666667,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,2.0,35640.0
0.0,0.0,0.0,-0.8,0.25,0.0,0.0,-0.19312602,0.0,0.6666667,-1.0,0.0,2.0,0.6666667,-0.33333334,-1.0,0.0,1.0,-1.0,0.0,-0.5,0.0,1.0,0.0,-0.1685393,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-0.33333334,2.0,1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,-0.5,0.0,0.33333334,1.0,1.0,0.0,0.0,0.5,0.0,0.0,3.0000005,0.0,-1.3333334,-1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,7920.0
0.0,0.0,-0.14285715,-0.5,-0.75,0.0,-0.6,-0.21276596,0.0,0.6666667,1.0,1.0,0.0,0.6666667,0.33333334,0.0,0.5,1.0,0.0,0.6666667,1.25,0.0,1.1647941,0.0,-0.1685393,0.0,0.0,0.0,-0.6666667,-0.5,-0.5,-1.0,-2.0,-0.6666667,0.0,1.0,1.6666666,-2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-0.6666667,0.0,-0.6666667,0.0,1.0,-1.0,0.0,-0.33333334,0.0,1760.0
0.0,0.0,-0.14285715,-0.4,-0.5,0.0,-0.6,1.0278232,0.0,0.0,1.0,1.0,0.0,0.6666667,0.33333334,-1.0,0.5,-1.0,0.0,0.33333334,-0.5,-1.0,0.0,-0.2931937,-0.1685393,0.0,0.0,0.0,-1.3333334,-0.5,0.0,-1.0,-2.0,0.0,0.0,3.0,0.0,-1.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666667,0.0,1.0,0.0,0.0,-0.33333334,0.0,3080.0
0.0,0.0,-0.14285715,-0.3,-0.5,0.0,0.4,-0.21276596,0.0,0.0,1.0,0.0,0.0,0.6666667,0.33333334,-2.0,0.5,0.0,0.0,0.33333334,-0.5,0.0,0.0,-0.7486911,0.0,0.0,0.0,0.0,-0.6666667,0.0,-0.5,-1.0,0.0,-0.33333334,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333334,0.0,-1.0,0.0,0.0,-1.0,0.0,-0.33333334,0.0,2112.0
0.0,0.0,-0.14285715,-0.2,-0.625,0.0,-0.6,0.22258593,0.0,0.0,1.0,0.0,0.0,0.6666667,0.33333334,0.0,0.5,0.0,-1.0,1.3333334,1.5,-1.0,0.0,-0.3350786,1.0,0.0,0.0,0.0,-0.6666667,0.0,-0.5,-1.0,-2.0,-0.33333334,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.505618,1.5,-1.3333334,0.0,-1.0,0.0,0.0,0.0,0.0,-0.33333334,0.0,2640.0
0.0,0.0,-0.14285715,-0.4,-0.75,2.0,-0.6,-0.01309329,0.0,0.6666667,-1.0,0.0,0.0,0.6666667,0.33333334,0.0,1.5,0.0,-1.0,0.6666667,-0.25,-1.0,0.0,-0.58638746,0.0,0.0,0.0,0.0,-1.3333334,0.0,-0.5,-1.0,0.0,-0.33333334,0.0,2.0,0.0,1.0,-1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,3.0000005,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.33333334,0.0,1760.0
0.0,0.0,-0.14285715,-0.8,-1.0,4.0,0.0,-0.11456628,0.0,0.6666667,-1.0,0.0,0.0,0.6666667,0.33333334,0.0,0.5,1.0,-1.0,0.0,-0.5,-1.0,0.0,-0.9162304,-0.3333333,0.0,0.0,0.0,-1.3333334,0.0,-0.5,-1.0,-2.0,-1.0,0.0,2.0,0.0,-2.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,3.0000005,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.33333334,0.0,396.0
0.0,0.0,-0.14285715,-0.1,-0.125,0.0,-0.6,0.9067103,0.0,0.0,-1.0,0.5,0.0,0.6666667,0.0,0.0,1.25,0.0,0.0,0.6666667,0.75,0.0,0.0,-0.25130892,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.6666667,0.0,3.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,-0.6666667,0.0,0.0,0.0,0.0,-0.33333334,0.0,5544.0
0.0,1.0,-0.14285715,0.0,-0.25,0.0,-0.6,0.25204584,0.0,0.6666667,1.0,1.5,1.0,-0.33333334,0.0,-2.0,0.5,-1.0,-1.0,0.6666667,0.5,-1.0,1.1647941,-0.3350786,0.0,0.0,0.0,0.0,0.6666667,0.5,0.5,-1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.49438217,0.0,-1.3333334,-1.0,0.0,1.0,0.0,-1.0,3.0,0.33333334,1.0,1232.0
0.0,0.0,0.5714286,-0.6,0.25,6.0,-0.6,3.289689,-1.0,0.0,1.0,1.5,0.0,-0.33333334,-0.6666667,-2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.49738222,1.0,0.0,-1.0,0.0,0.0,0.5,0.5,-1.0,0.0,14.333333,0.0,0.0,0.7291666,1.0,1.0,2.0,0.0,-0.33333334,0.0,1.0,0.6666667,3.0,0.0,1.0,0.0,0.5,0.0,0.0,0.505618,0.0,0.0,0.0,-0.6666667,0.0,0.0,0.0,0.0,0.6666667,1.0,76032.0
0.0,0.0,0.0,-0.7,-0.25,0.0,-0.8,0.83469725,0.0,-2.0,-1.0,0.0,0.0,-0.33333334,-1.0,-1.0,-0.25,0.0,-1.0,0.0,-0.5,0.0,1.0,-0.83246076,0.0,0.0,-1.0,0.0,0.0,1.5,-0.5,-1.0,0.0,0.33333334,4.0,0.0,2.5,-1.0,-1.0,3.0,0.0,-0.33333334,0.5,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.6666667,0.0,0.0,1.0,0.0,0.0,3.0,0.6666667,1.0,9504.0
-3.0,-1.0,0.0,0.3,-0.5,0.0,0.2,-0.14729951,0.0,2.6666667,-2.0,0.0,0.0,-0.33333334,0.0,0.0,-0.5,0.0,0.0,-0.33333334,-0.25,-1.0,0.0,0.16230364,0.49812734,0.0,0.0,0.0,-0.6666667,-0.5,0.0,-1.0,0.0,-0.6666667,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-0.5,0.0,-2.0,-1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2640.0
0.0,0.0,0.0,-0.7,-0.25,0.0,-0.8,0.83469725,0.0,-2.0,-1.0,0.0,0.0,0.0,-0.6666667,-1.0,-0.25,0.0,-1.0,0.0,0.5,0.0,1.0,-0.83246076,0.0,0.0,-1.0,0.0,0.0,-0.5,-0.5,-1.0,0.0,0.33333334,4.0,0.0,1.6666666,0.0,-1.0,0.0,0.0,-0.33333334,0.5,0.0,0.33333334,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.6666667,0.0,0.0,1.0,0.0,-1.0,3.0,0.6666667,1.0,6336.0
0.0,0.0,0.0,0.0,1.75,0.0,0.4,-0.14729951,0.0,-0.6666667,-1.0,0.5,1.0,-0.33333334,0.0,0.0,0.25,-3.0,-1.0,-0.33333334,0.25,-1.0,0.6666667,0.12041886,0.8314608,1.0,0.0,0.0,-0.6666667,-0.5,-0.5,-1.0,0.0,0.33333334,-2.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,-0.6666667,0.0,-0.6666667,0.0,0.0,-1.0,1.0,0.6666667,0.0,13200.0
-1.0,-1.0,1.2857143,0.7,-1.0,6.0,-0.6,-0.049099836,0.0,0.0,-1.0,0.0,1.0,-0.33333334,-0.33333334,-1.0,-0.25,-3.0,0.0,0.0,0.0,-1.0,0.0,-0.9162304,0.0,0.0,-1.0,0.0,-1.3333334,-0.5,-0.5,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-0.5,1.0,0.6666667,3.0,0.0,1.0,0.0,-0.5,-1.0,-1.0,0.0,0.0,-0.6666667,0.0,0.0,0.5,0.0,0.0,2.0,0.6666667,2.0,792.0
0.0,0.0,-0.14285715,0.1,-0.5,0.0,-0.6,0.34369886,0.0,0.6666667,1.0,0.5,0.0,0.33333334,0.0,-1.0,0.25,0.0,0.0,0.0,0.0,-1.0,0.0,-0.83246076,0.0,1.0,0.0,-1.0,-0.6666667,0.0,0.0,-1.0,0.0,-0.33333334,-1.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.6666667,1.0,0.0,1.0,0.0,-1.0,1.0,-0.33333334,1.0,1155.0
0.0,0.0,-0.14285715,0.0,0.0,4.0,-0.6,0.44189852,0.0,0.6666667,1.0,1.0,0.0,0.0,-0.33333334,-2.0,-0.25,0.0,0.0,0.0,-0.25,0.0,0.0,-0.7486911,1.0,0.0,0.0,0.0,-0.6666667,0.5,0.0,-1.0,-1.0,-1.0,-3.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-2.0,0.0,1.0,0.0,0.6666667,0.0,0.0,1.0,0.0,-1.0,0.0,-0.33333334,0.0,1100.0
0.0,-1.0,-0.14285715,0.0,0.0,2.0,-0.6,0.4091653,0.0,0.6666667,0.0,1.5,1.0,0.33333334,0.0,0.0,0.5,0.0,0.0,0.0,-0.75,-1.0,1.0,0.32984298,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,-1.0,-1.0,-1.0,2.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,5280.0
0.0,0.0,0.0,-0.8,3.75,0.0,0.0,-0.08183306,0.0,-0.6666667,-1.0,0.0,2.0,0.0,0.0,-2.0,-0.5,0.0,-1.0,0.6666667,0.0,-1.0,0.0,-0.37696338,-0.1685393,0.0,-1.0,0.0,0.6666667,1.5,-0.5,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.33333334,1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666667,1.0,0.0,-1.0,0.0,0.6666667,1.0,5808.0
0.0,0.0,0.0,-0.8,-0.5,0.0,0.0,-0.18003273,0.0,0.0,-1.0,0.0,1.0,0.0,-0.33333334,0.0,-0.25,1.0,-1.0,-0.33333334,-0.75,-1.0,0.0,0.2879581,-0.1685393,1.0,-1.0,-1.0,0.0,0.5,1.0,0.0,0.0,-1.0,-3.0,2.0,2.5,0.0,0.0,2.0,1.0,0.0,-0.5,0.0,0.33333334,1.0,0.0,0.0,0.0,-0.5,-2.0,0.0,3.0000005,1.0,0.0,-1.0,-0.6666667,1.0,1.0,0.0,0.0,0.33333334,0.0,1155.0
0.0,0.0,0.0,0.0,0.5,0.0,0.4,-0.10801964,0.0,0.0,-1.0,0.0,0.0,0.0,-0.33333334,0.0,-0.25,0.0,0.0,1.3333334,1.5,-1.0,1.0,1.078534,1.164794,1.0,-1.0,0.0,0.6666667,-0.5,0.0,0.0,0.0,-1.3333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.33333334,1.0,2.0,0.0,0.0,-0.5,0.0,0.0,3.0000005,0.5,-0.6666667,-1.0,-0.6666667,-0.5,1.0,1.0,0.0,-0.33333334,0.0,1584.0
0.0,6.0,0.0,-0.8,0.5,6.0,-0.6,1.3617021,0.0,-2.0,-1.0,2.0,1.0,0.6666667,-0.33333334,-1.0,1.5,0.0,-1.0,0.6666667,2.0,0.0,1.1647941,0.32984298,0.6666667,1.0,-2.0,-1.0,-1.3333334,0.5,1.0,0.0,0.0,1.6666666,0.0,4.0,3.5,5.0,0.0,0.0,3.0,-0.33333334,-0.5,1.0,0.6666667,3.0,0.0,1.0,0.0,-1.0,0.0,0.0,3.0000005,1.5,-1.3333334,-1.0,-0.6666667,1.5,1.0,1.0,0.0,-0.33333334,1.0,29040.0
0.0,-1.0,0.0,0.4,-0.25,0.0,0.0,-0.062193125,0.0,0.0,0.0,1.0,0.0,0.6666667,0.33333334,-1.0,0.0,0.0,-1.0,-0.33333334,1.0,1.0,0.8314608,0.49738222,-0.1685393,0.0,-2.0,-1.0,-0.6666667,0.0,0.0,0.0,0.0,-0.6666667,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,-0.5,0.0,-1.3333334,0.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,-0.6666667,-2.0,-0.6666667,1.0,1.0,-1.0,0.0,0.6666667,0.0,6336.0
2.0,-1.0,1.4285715,0.0,0.25,0.0,-0.4,-0.28805238,3.0,1.3333334,0.0,0.5,2.0,0.6666667,0.6666667,0.0,1.75,0.0,0.0,1.0,0.25,1.0,0.8314608,0.07853408,0.0,2.0,0.0,-1.0,0.6666667,1.5,1.5,2.0,0.0,-0.6666667,-4.0,0.0,0.0,2.0,2.0,1.0,1.0,-0.33333334,-0.5,0.0,-1.6666666,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,-1.3333334,-2.0,-1.0,1.0,0.0,2.0,0.0,0.6666667,0.0,3168.0
0.0,-1.0,-0.14285715,-0.7,-0.25,4.0,0.4,-0.11456628,0.0,2.6666667,0.0,1.0,0.0,-0.33333334,0.6666667,0.0,-0.5,1.0,-1.0,0.6666667,0.0,-1.0,0.0,0.07853408,-0.1685393,0.0,0.0,-1.0,-0.6666667,1.5,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.33333334,-1.0,0.0,1.0,0.0,0.0,-2.0,-2.0,3.0000005,0.0,-1.3333334,-1.0,-1.0,1.0,0.0,1.0,2.0,0.6666667,2.0,1056.0
-1.0,-1.0,1.2857143,0.0,1.75,4.0,-0.6,1.4238952,0.0,0.0,-1.0,0.0,0.0,-0.33333334,-0.6666667,-2.0,-0.5,0.0,0.0,0.6666667,-0.25,-1.0,0.0,-0.66492146,-0.1685393,0.0,0.0,0.0,-0.6666667,0.5,0.5,-1.0,-1.0,2.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,1.0,0.6666667,3.0,0.0,1.0,0.0,-0.5,-2.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.6666667,1.0,38016.0
-1.0,2.0,1.2857143,0.0,0.25,4.0,-0.6,0.83469725,0.0,0.0,-1.0,0.0,0.0,-0.33333334,-1.3333334,0.0,-0.5,0.0,-1.0,0.0,-0.25,0.0,0.0,-0.9162304,-0.1685393,0.0,-1.0,0.0,0.6666667,0.0,0.0,-1.0,-1.0,1.3333334,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.6666667,3.0,0.0,1.0,-1.0,-0.5,-2.0,-1.0,0.0,0.0,0.6666667,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8976.0
-1.0,2.0,1.2857143,0.0,0.25,0.0,-0.6,0.9328969,0.0,0.0,-1.0,0.0,0.0,-0.33333334,-0.6666667,-2.0,-0.5,0.0,-1.0,0.6666667,-0.25,-1.0,1.0,0.07853408,-0.1685393,0.0,-1.0,0.0,-1.3333334,0.0,0.5,-1.0,-1.0,1.6666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-1.0,0.5,1.0,0.6666667,3.0,0.0,1.0,0.0,-0.5,-2.0,-1.0,0.0,0.0,-0.6666667,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,21120.0
-3.0,0.0,-0.14285715,0.3,-0.75,0.0,0.4,-0.08183306,0.0,1.3333334,-1.0,0.0,2.0,0.0,0.33333334,-2.0,0.5,0.0,-1.0,-0.33333334,-0.5,0.0,0.0,-0.9162304,-0.1685393,1.0,0.0,0.0,0.0,-0.5,-0.5,-1.0,0.0,-0.6666667,0.0,0.0,3.3333333,0.0,0.0,3.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0000005,0.0,-0.6666667,-1.0,-0.6666667,0.5,1.0,2.0,0.0,-0.33333334,0.0,12672.0
-3.0,0.0,0.2857143,0.3,1.75,0.0,0.4,-0.21276596,0.0,0.0,1.0,1.5,0.0,0.33333334,0.0,-2.0,-0.25,0.0,0.0,-0.6666667,0.5,-1.0,1.1647941,0.32984298,-0.3333333,0.0,0.0,-1.0,0.0,0.0,-0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,0.0,0.0,-0.5,0.0,0.33333334,0.0,3.0,0.0,-1.0,0.5,0.0,0.0,-0.49438217,0.5,-0.6666667,-2.0,-1.0,-0.5,2.0,1.0,0.0,0.6666667,1.0,15840.0
0.0,0.0,-0.14285715,-0.7,-0.5,0.0,-0.8,0.83469725,0.0,-2.0,-1.0,0.0,0.0,-0.33333334,-1.0,-1.0,-0.25,0.0,-1.0,0.0,0.75,-1.0,1.0,-0.87434554,-0.1685393,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.33333334,4.0,0.0,1.6666666,0.0,-1.0,3.0,0.0,-0.33333334,0.5,0.0,0.33333334,0.0,0.0,0.0,0.0,-0.5,0.0,-1.0,0.0,0.0,0.6666667,0.0,0.0,1.0,0.0,0.0,3.0,0.6666667,1.0,7920.0
0.0,0.0,-0.14285715,0.0,0.25,0.0,-0.6,1.106383,2.0,-0.6666667,0.0,1.5,1.0,-0.33333334,0.6666667,0.0,-0.5,1.0,0.0,0.6666667,0.0,0.0,1.0,-0.50261784,-0.1685393,0.0,0.0,-1.0,0.6666667,0.5,0.5,0.0,0.0,-1.0,0.0,0.0,2.5,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6666667,-1.0,0.0,1.0,0.0,-0.5,0.0,0.0,0.0,1.5,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.6666667,1.0,1232.0
0.0,0.0,-0.14285715,-0.9,0.5,0.0,-0.4,-0.21276596,0.0,2.6666667,0.0,0.0,2.0,-0.33333334,0.33333334,0.0,0.5,-2.0,0.0,0.0,0.5,1.0,0.0,-0.16753924,-0.1685393,2.0,-1.0,-1.0,0.6666667,1.5,1.5,-1.0,0.0,-0.33333334,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.33333334,-1.0,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,1.0,0.6666667,-1.0,-1.0,-0.5,0.0,-1.0,-1.0,-0.33333334,0.0,3080.0
