Indice Progetto,Organization type,Estimated  duration,Development type,Government policy impact,Developer hiring policy,Development team management,Consultant availability,DBMS  expert availability,Software tool experience,Programmers experience in programming language,Team size,Daily working hours,Team contracts,Development environment adequacy,Tool availability ,Methodology,Degree of software reuse ,Requirement accuracy level,User manual,Performance requirements,Actual effort
13,5.0,3.0,1.0,5.0,4.0,6.0,3.0,1.0,2.0,1.0,4.0,8.0,3.0,1.0,8.0,6.0,4.0,1.0,1.0,1.0,2112.0
14,5.0,2.5,1.0,5.0,4.0,6.0,3.0,1.0,2.0,1.0,4.0,8.0,3.0,1.0,8.0,2.0,3.0,4.0,1.0,1.0,2640.0
15,5.0,2.0,2.0,3.0,4.0,10.0,3.0,1.0,2.0,1.0,4.0,8.0,3.0,1.0,8.0,6.0,3.0,1.0,1.0,1.0,1760.0
16,5.0,1.0,3.0,3.0,4.0,6.0,3.0,1.0,2.0,1.0,2.0,8.0,3.0,1.0,8.0,6.0,3.0,1.0,1.0,1.0,396.0
17,5.0,4.5,1.0,3.0,4.0,9.0,3.0,1.0,2.0,1.0,7.0,8.0,4.0,1.0,8.0,6.0,4.0,4.0,2.0,1.0,5544.0
18,5.0,4.0,1.0,5.0,1.0,6.0,3.0,1.0,3.0,3.0,2.0,8.0,1.0,1.0,8.0,3.0,2.0,1.0,2.0,1.0,1232.0
19,5.0,6.0,4.0,5.0,1.0,4.0,2.0,1.0,3.0,3.0,48.0,8.0,1.0,1.0,7.0,2.0,5.0,1.0,2.0,1.0,76032.0
20,5.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,1.0,6.0,12.0,2.0,1.0,7.0,3.0,4.0,1.0,2.0,1.0,9504.0
21,2.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,8.0,1.0,1.0,8.0,1.0,5.0,1.0,2.0,2.0,2640.0
22,5.0,4.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,6.0,12.0,1.0,1.0,7.0,3.0,3.0,1.0,2.0,1.0,6336.0
23,5.0,12.0,1.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,6.0,6.0,1.0,2.0,8.0,4.0,3.0,2.0,2.0,1.0,13200.0
24,4.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,792.0
25,5.0,3.0,1.0,5.0,3.0,5.0,3.0,0.0,2.0,2.0,4.0,7.0,1.0,1.0,8.0,3.0,5.0,1.0,2.0,1.0,1155.0
26,5.0,5.0,3.0,5.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,8.0,3.0,5.0,1.0,2.0,1.0,1100.0
27,5.0,5.0,2.0,4.0,3.0,6.0,3.0,1.0,1.0,1.0,2.0,10.0,1.0,1.0,8.0,3.0,4.0,2.0,1.0,1.0,5280.0
28,5.0,20.0,1.0,3.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,8.0,1.0,1.0,8.0,1.0,3.0,1.0,2.0,1.0,5808.0
29,5.0,3.0,1.0,3.0,2.0,3.0,2.0,0.0,3.0,4.0,2.0,5.0,3.0,2.0,8.0,1.0,3.0,3.0,2.0,2.0,1155.0
30,5.0,7.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,8.0,3.0,3.0,2.0,2.0,2.0,1584.0
31,5.0,4.0,1.0,4.0,4.0,4.0,1.0,0.0,2.0,2.0,3.0,8.0,1.0,1.0,8.0,1.0,4.0,1.0,2.0,2.0,6336.0
32,4.0,12.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,12.0,8.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,3.0,38016.0
33,4.0,6.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,9.0,8.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,8976.0
34,4.0,6.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,10.0,8.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,3.0,21120.0
35,2.0,2.0,1.0,3.0,2.0,6.0,3.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,8.0,1.0,5.0,1.0,2.0,2.0,12672.0
36,5.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,6.0,12.0,1.0,1.0,7.0,3.0,3.0,1.0,2.0,1.0,7920.0
37,5.0,6.0,1.0,4.0,1.0,2.0,3.0,0.0,3.0,3.0,2.0,8.0,1.0,1.0,8.0,2.0,3.0,4.0,1.0,1.0,1232.0
38,5.0,3.0,3.0,5.0,1.0,2.0,1.0,0.0,2.0,1.0,5.0,5.0,1.0,1.0,8.0,3.0,5.0,4.0,1.0,3.0,3300.0
39,4.0,6.0,1.0,4.0,1.0,3.0,3.0,0.0,3.0,3.0,5.0,7.0,1.0,1.0,4.0,3.0,5.0,4.0,1.0,2.0,9240.0
40,4.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,6.0,7.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,3.0,5544.0
41,4.0,0.25,4.0,3.0,1.0,3.0,2.0,1.0,3.0,4.0,6.0,14.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,924.0
42,4.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,3.0,8.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,5808.0
43,4.0,7.0,3.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0,4.0,8.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,8448.0
44,4.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,14.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2310.0
45,5.0,6.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,8.0,1.0,1.0,8.0,1.0,5.0,1.0,1.0,1.0,4752.0
46,2.0,3.0,1.0,4.0,1.0,2.0,3.0,1.0,5.0,4.0,2.0,8.0,1.0,1.0,8.0,1.0,4.0,1.0,2.0,1.0,1408.0
47,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,5.0,8.0,1.0,1.0,8.0,3.0,3.0,1.0,2.0,2.0,3168.0
48,5.0,4.0,1.0,3.0,1.0,3.0,3.0,1.0,5.0,2.0,2.0,8.0,3.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,1584.0
49,4.0,8.0,3.0,3.0,1.0,2.0,3.0,0.0,3.0,3.0,4.0,8.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,2.0,8448.0
50,4.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,4.0,8.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,2112.0
51,5.0,5.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,8.0,1.0,1.0,8.0,1.0,5.0,1.0,1.0,1.0,1056.0
52,5.0,15.0,1.0,3.0,2.0,3.0,3.0,0.0,1.0,1.0,4.0,8.0,2.0,1.0,8.0,1.0,3.0,1.0,2.0,1.0,6336.0
53,4.0,6.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,12.0,8.0,3.0,1.0,7.0,3.0,3.0,1.0,2.0,1.0,8448.0
54,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,8.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,2.0,4224.0
55,3.0,6.0,1.0,5.0,3.0,3.0,2.0,1.0,2.0,4.0,11.0,8.0,1.0,1.0,8.0,3.0,1.0,1.0,2.0,3.0,17424.0
56,5.0,12.0,1.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,8.0,5.0,2.0,8.0,3.0,5.0,1.0,2.0,2.0,22176.0
57,5.0,3.0,1.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,10.0,8.0,3.0,1.0,8.0,3.0,5.0,1.0,2.0,1.0,7920.0
58,5.0,10.0,2.0,3.0,4.0,5.0,3.0,1.0,3.0,3.0,10.0,8.0,3.0,2.0,6.0,3.0,3.0,1.0,2.0,2.0,28160.0
59,5.0,3.0,1.0,4.0,3.0,3.0,3.0,0.0,3.0,2.0,5.0,8.0,2.0,2.0,8.0,1.0,5.0,1.0,2.0,1.0,3696.0
60,4.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,3168.0
61,4.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,6.0,14.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,3696.0
62,4.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,25.0,8.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,15840.0
63,5.0,6.0,1.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,12.0,8.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,1.0,33792.0
64,5.0,8.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,8.0,2.0,1.0,8.0,3.0,3.0,1.0,2.0,1.0,18304.0
65,5.0,12.0,1.0,3.0,1.0,6.0,3.0,1.0,1.0,1.0,6.0,8.0,3.0,1.0,8.0,3.0,2.0,1.0,2.0,1.0,9504.0
66,5.0,2.0,1.0,3.0,4.0,4.0,3.0,0.0,1.0,1.0,2.0,7.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,577.5
67,5.0,3.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,1.0,5.0,8.0,1.0,1.0,7.0,3.0,5.0,3.0,2.0,2.0,4400.0
68,5.0,6.0,1.0,4.0,1.0,8.0,1.0,1.0,1.0,2.0,5.0,8.0,1.0,1.0,6.0,3.0,1.0,3.0,2.0,4.0,8448.0
69,7.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,8.0,5.0,1.0,6.0,3.0,4.0,1.0,2.0,4.0,1760.0
70,7.0,4.0,1.0,3.0,1.0,6.0,1.0,0.0,5.0,3.0,4.0,8.0,1.0,1.0,7.0,1.0,5.0,1.0,1.0,3.0,2816.0
71,1.0,4.0,1.0,3.0,4.0,5.0,3.0,1.0,4.0,1.0,4.0,6.0,1.0,1.0,7.0,7.0,4.0,1.0,1.0,1.0,4752.0
72,1.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,8.0,1.0,1.0,7.0,1.0,4.0,1.0,2.0,2.0,2640.0
73,7.0,4.0,2.0,4.0,2.0,6.0,2.0,1.0,1.0,1.0,8.0,6.0,5.0,1.0,8.0,3.0,5.0,4.0,1.0,1.0,2640.0
74,7.0,7.0,2.0,4.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,8.0,3.0,4.0,1.0,2.0,1.0,2200.0
75,5.0,12.0,2.0,4.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,8.0,3.0,1.0,6.0,3.0,4.0,4.0,2.0,1.0,12672.0
76,5.0,2.0,2.0,4.0,4.0,11.0,3.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,8.0,3.0,5.0,1.0,1.0,1.0,792.0
77,5.0,12.0,1.0,4.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,8.0,3.0,4.0,4.0,2.0,1.0,10560.0
78,3.0,5.0,1.0,5.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,8.0,1.0,3.0,8.0,4.0,4.0,1.0,2.0,2.0,4224.0
79,3.0,3.0,1.0,5.0,2.0,4.0,3.0,0.0,1.0,1.0,7.0,8.0,1.0,2.0,8.0,1.0,5.0,1.0,1.0,1.0,1936.0
80,3.0,3.0,1.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,8.0,1.0,5.0,1.0,2.0,1.0,2112.0
81,8.0,9.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,9.0,3.0,1.0,8.0,1.0,5.0,1.0,2.0,1.0,3861.0
82,5.0,6.0,1.0,4.0,4.0,6.0,3.0,0.0,1.0,1.0,6.0,8.0,1.0,1.0,8.0,1.0,2.0,4.0,1.0,1.0,7392.0
83,5.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,5.0,8.0,2.0,1.0,5.0,2.0,4.0,1.0,2.0,2.0,704.0
84,5.0,4.0,1.0,4.0,4.0,10.0,3.0,0.0,2.0,2.0,3.0,8.0,2.0,1.0,8.0,2.0,1.0,4.0,2.0,2.0,3520.0
85,8.0,6.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,2904.0
86,5.0,3.0,1.0,4.0,4.0,6.0,2.0,1.0,1.0,1.0,5.0,8.0,1.0,3.0,6.0,3.0,5.0,1.0,1.0,2.0,704.0
87,5.0,1.0,1.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,2.0,8.0,3.0,1.0,6.0,1.0,4.0,1.0,1.0,2.0,528.0
88,5.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,8.0,1.0,2.0,7.0,3.0,5.0,1.0,1.0,2.0,1760.0
89,3.0,6.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,5.0,8.0,2.0,1.0,8.0,1.0,5.0,4.0,2.0,2.0,5632.0
90,5.0,9.0,1.0,1.0,4.0,4.0,3.0,0.0,5.0,2.0,5.0,9.0,1.0,1.0,8.0,1.0,5.0,4.0,2.0,1.0,14850.0
91,5.0,9.0,1.0,1.0,4.0,4.0,3.0,0.0,5.0,2.0,7.0,9.0,2.0,1.0,8.0,1.0,5.0,4.0,2.0,1.0,17820.0
92,5.0,9.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,9.0,1.0,1.0,8.0,3.0,4.0,4.0,2.0,1.0,5346.0
93,5.0,9.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,6.0,9.0,3.0,1.0,8.0,3.0,3.0,4.0,2.0,1.0,10692.0
94,5.0,12.0,1.0,3.0,4.0,5.0,3.0,0.0,2.0,2.0,6.0,9.0,3.0,1.0,8.0,1.0,5.0,4.0,2.0,1.0,10692.0
95,5.0,9.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,6.0,9.0,3.0,1.0,8.0,3.0,4.0,4.0,2.0,1.0,8019.0
96,5.0,12.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,2.0,7.0,9.0,2.0,1.0,8.0,1.0,4.0,4.0,2.0,1.0,10692.0
97,5.0,9.0,1.0,1.0,4.0,5.0,3.0,1.0,1.0,1.0,6.0,9.0,3.0,1.0,8.0,3.0,4.0,4.0,2.0,1.0,10692.0
98,8.0,5.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,6.0,8.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,1.0,4224.0
99,5.0,7.0,1.0,4.0,2.0,5.0,3.0,1.0,2.0,2.0,5.0,6.0,1.0,1.0,4.0,2.0,5.0,3.0,2.0,1.0,6534.0
100,5.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,5.0,9.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,3465.0
101,6.0,8.0,1.0,5.0,1.0,8.0,2.0,1.0,3.0,3.0,9.0,8.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,16016.0
102,2.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,8.0,1.0,1.0,8.0,1.0,5.0,1.0,2.0,1.0,880.0
103,6.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,5.0,5.0,2.0,8.0,1.0,1.0,8.0,3.0,3.0,1.0,1.0,2.0,3168.0
104,2.0,12.0,1.0,5.0,3.0,10.0,3.0,1.0,1.0,1.0,3.0,8.0,1.0,3.0,8.0,3.0,5.0,3.0,2.0,1.0,19008.0
