Organization type,Size of IT department,Customer organization type,Estimated  duration,Development type,Application domain,Object points,Contract maturity,Government policy impact,Organization management structure clarity,Developer hiring policy,Developer incentives policy ,Developer training,Development team management,Top management support,Top management opinion of previous system,User resistance,User computer experience, Users stability , Requirements flexibility ,Project manager experience,Consultant availability,DBMS  expert availability,Precedentedness,Software tool experience,Programmers experience in programming language,Programmers capability ,Team selection,Team size,Daily working hours,Team contracts,Team cohesion,Schedule quality,Development environment adequacy,Tool availability ,Methodology,Programming language used,DBMS used,Technical stability,Open source software,Degree of software reuse ,Degree of risk management,Use of standards, Process reengineering ,Requirement accuracy level,Technical documentation,User manual,Required reusability,Performance requirements,Product complexity,Security requirements,Reliability requirements,Specified H/W,Actual effort
0.0,0.0,-0.7,-0.25,0.0,-0.8,1.0317298,-1.5,0.0,0.0,0.0,-0.6666667,-1.0,0.0,0.0,-1.0,0.5,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,-0.5,-1.0,-1.0,0.0,0.33333334,4.0,0.0,0.0,0.0,0.0,-0.4,0.5,0.33333334,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,3.0,1.0,1.0,6336.0
0.0,0.0,0.0,1.75,0.0,0.4,-0.19651996,-0.5,0.0,1.0,-0.33333334,0.0,0.0,0.6666667,-3.0,-1.0,0.25,0.0,0.6666667,0.8314608,1.0,0.0,0.0,-1.0,-0.5,-1.0,-1.0,0.0,0.33333334,-2.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.6666667,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,13200.0
-1.0,1.2857143,0.7,-1.0,3.0,-0.6,-0.07369498,0.0,0.0,1.0,-0.33333334,-0.33333334,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-0.5,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.2,-0.5,0.6666667,3.0,0.0,1.0,-0.5,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.5,0.0,0.0,2.0,1.0,2.0,792.0
0.0,-0.14285715,0.1,-0.5,0.0,-0.6,0.41760492,0.5,2.0,0.0,0.33333334,0.0,-1.0,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.33333334,-1.0,0.0,-2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,-0.5,1.0,1155.0
0.0,-0.14285715,0.0,0.0,2.0,-0.6,0.5404299,0.5,2.0,0.0,0.0,-0.33333334,-2.0,0.0,0.0,0.0,-0.25,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.5,0.0,-1.0,-1.0,-1.0,-3.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,-2.0,0.0,-0.24719109,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,-0.5,0.0,1100.0
0.0,-0.14285715,0.0,0.0,1.0,-0.6,0.49948823,0.5,1.0,1.0,0.33333334,0.0,0.0,1.0,0.0,0.0,-0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,-1.0,-1.0,-1.0,2.0,0.0,-1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666667,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,1.0,5280.0
0.0,0.0,-0.8,3.75,0.0,0.0,-0.114636645,-0.5,0.0,2.0,0.0,0.0,-2.0,-0.33333334,0.0,-1.0,0.0,0.0,0.0,-0.1685393,0.0,-1.0,0.0,1.0,1.5,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.33333334,1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5808.0
0.0,0.0,-0.8,-0.5,0.0,0.0,-0.23746161,0.0,0.0,1.0,0.0,-0.33333334,0.0,0.0,1.0,-1.0,-0.75,0.0,0.0,-0.1685393,1.0,-1.0,-1.0,0.0,0.5,2.0,0.0,0.0,-1.0,-3.0,2.0,0.0,2.0,1.0,0.0,-0.5,0.33333334,1.0,0.0,0.0,-0.5,-2.0,0.0,3.0000005,1.3333334,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,1155.0
0.0,0.0,0.0,0.5,0.0,0.4,-0.14738996,0.0,0.0,0.0,0.0,-0.33333334,0.0,0.0,0.0,0.0,1.5,0.0,1.0,1.164794,1.0,-1.0,0.0,1.0,-0.5,0.0,0.0,0.0,-1.3333334,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.33333334,1.0,2.0,0.0,-0.5,0.0,0.0,3.0000005,0.6666667,-1.0,0.0,-0.5,1.0,1.0,0.0,-0.5,0.0,1584.0
0.0,0.0,0.4,-0.25,0.0,0.0,-0.09007165,0.0,1.0,0.0,0.6666667,0.33333334,-1.0,0.33333334,0.0,-1.0,1.0,2.0,0.8314608,-0.1685393,0.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.6666667,0.0,0.0,1.0,1.0,0.0,0.0,-0.5,-1.3333334,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,6336.0
-1.0,1.2857143,0.0,1.75,2.0,-0.6,1.7686796,0.0,0.0,0.0,-0.33333334,-0.6666667,-2.0,-0.33333334,0.0,0.0,-0.25,0.0,0.0,-0.1685393,0.0,0.0,0.0,-1.0,0.5,1.0,-1.0,-1.0,2.3333333,0.0,0.0,0.0,0.0,0.0,-1.2,0.5,0.6666667,3.0,0.0,1.0,-0.5,-2.0,-1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,38016.0
-1.0,1.2857143,0.0,0.25,2.0,-0.6,1.0317298,0.0,0.0,0.0,-0.33333334,-1.3333334,0.0,-0.33333334,0.0,-1.0,-0.25,1.0,0.0,-0.1685393,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.3333334,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,0.6666667,3.0,0.0,1.0,-0.5,-2.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8976.0
-1.0,1.2857143,0.0,0.25,0.0,-0.6,1.1545547,0.0,0.0,0.0,-0.33333334,-0.6666667,-2.0,-0.33333334,0.0,-1.0,-0.25,0.0,1.0,-0.1685393,0.0,-1.0,0.0,-2.0,0.0,1.0,-1.0,-1.0,1.6666666,0.0,0.0,0.0,0.0,0.0,-1.2,0.5,0.6666667,3.0,0.0,1.0,-0.5,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,21120.0
-3.0,-0.14285715,0.3,-0.75,0.0,0.4,-0.114636645,1.0,0.0,2.0,0.0,0.33333334,-2.0,1.0,0.0,-1.0,-0.5,1.0,0.0,-0.1685393,1.0,0.0,0.0,0.0,-0.5,-1.0,-1.0,0.0,-0.6666667,0.0,1.0,0.0,3.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0000005,0.0,-1.0,0.0,0.5,1.0,2.0,0.0,-0.5,0.0,12672.0
-3.0,0.2857143,0.3,1.75,0.0,0.4,-0.27840328,0.0,2.0,0.0,0.33333334,0.0,-2.0,0.0,0.0,0.0,0.5,0.0,1.1647941,-0.3333333,0.0,0.0,-1.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-0.5,0.33333334,0.0,3.0,0.0,0.5,0.0,0.0,-0.49438217,0.6666667,-1.0,-1.0,-0.5,2.0,1.0,0.0,1.0,1.0,15840.0
0.0,-0.14285715,-0.7,-0.5,0.0,-0.8,1.0317298,-1.5,0.0,0.0,-0.33333334,-1.0,-1.0,0.0,0.0,-1.0,0.75,0.0,1.0,-0.1685393,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.33333334,4.0,0.0,0.0,3.0,0.0,-0.4,0.5,0.33333334,0.0,0.0,0.0,-0.5,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,7920.0
0.0,-0.14285715,0.0,0.25,0.0,-0.6,1.3715456,-0.5,1.0,1.0,-0.33333334,0.6666667,0.0,-0.33333334,1.0,0.0,0.0,1.0,1.0,-0.1685393,0.0,0.0,-1.0,1.0,0.5,1.0,0.0,0.0,-1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.6666667,-1.0,0.0,1.0,-0.5,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,1232.0
0.0,0.0,0.0,-0.5,2.0,0.4,0.1310133,0.5,2.0,0.0,-0.33333334,0.6666667,0.0,-0.33333334,0.0,0.0,-0.25,0.0,0.8314608,0.6666667,0.0,-2.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-3.0,0.0,0.0,2.0,0.0,0.0,0.5,-1.3333334,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,3300.0
-1.0,1.2857143,0.0,0.25,0.0,0.2,-0.33981577,0.5,1.0,1.0,-0.33333334,0.0,0.0,0.0,1.0,-1.0,1.25,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.5,1.0,2.0,0.0,0.0,-1.0,0.0,3.0,2.0,0.0,-1.6,0.5,-0.33333334,-1.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,-2.0,-1.0,1.0,1.0,-1.0,1.0,0.5,0.0,9240.0
-1.0,1.2857143,-0.5,0.25,0.0,0.4,-0.19242579,-1.0,1.0,0.0,-0.33333334,-0.6666667,0.0,0.0,-1.0,0.0,1.5,0.0,1.1647941,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,2.3333333,-1.0,0.0,1.0,0.0,1.0,-1.6,0.0,-0.33333334,-1.0,0.0,0.0,-0.5,-1.0,0.0,0.0,2.0,-2.0,-1.0,0.0,0.0,1.0,2.0,1.0,2.0,20328.0
-1.0,1.2857143,-0.6,-0.25,2.0,0.0,-0.22927329,0.0,1.0,0.0,-0.33333334,-1.0,-1.0,-0.33333334,0.0,0.0,-0.75,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.33333334,-1.0,0.0,-2.0,0.0,0.0,-1.6,0.0,-0.33333334,3.0,0.0,0.0,-0.5,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,0.5,1.0,5544.0
-1.0,1.2857143,0.0,-1.1875,3.0,-0.6,0.3971341,0.0,0.0,0.0,-0.33333334,-1.0,-2.0,-0.33333334,-3.0,0.0,-0.5,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.5,2.0,-1.0,-1.0,0.33333334,6.0,0.0,-1.0,0.0,0.0,-1.2,-0.5,0.6666667,3.0,0.0,1.0,-1.5,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,924.0
-1.0,1.2857143,-0.9,-1.1875,3.0,-0.6,0.3971341,0.0,0.0,0.0,-0.33333334,-1.0,-2.0,0.0,-3.0,0.0,-0.5,1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.5,2.0,-1.0,-1.0,0.33333334,6.0,0.0,-1.0,0.0,0.0,-1.2,-0.5,0.6666667,3.0,0.0,1.0,-1.5,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,924.0
-1.0,1.2857143,0.7,-0.5,2.0,-0.6,-0.07369498,0.0,0.0,0.0,-0.33333334,-0.33333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-2.0,-0.5,-1.0,-1.0,0.0,-0.6666667,0.0,0.5,0.0,0.0,0.0,-1.6,0.0,1.0,3.0,0.0,1.0,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5808.0
-1.0,1.2857143,0.7,0.5,2.0,-0.6,1.3183213,0.0,0.0,0.0,-0.33333334,-0.33333334,-2.0,-0.33333334,-2.0,0.0,0.75,1.0,0.0,0.0,2.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,0.0,-0.33333334,0.0,1.0,0.0,0.0,0.0,-1.6,0.0,1.0,3.0,0.0,1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,8448.0
-1.0,1.2857143,0.0,-1.0,3.0,-0.6,0.3971341,0.0,0.0,0.0,-0.33333334,-1.0,-2.0,-0.33333334,-3.0,0.0,-0.5,1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.5,2.0,-1.0,-1.0,0.33333334,6.0,0.0,-1.0,0.0,0.0,-1.6,-0.5,1.0,3.0,0.0,1.0,-1.5,-2.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,2.0,1.0,1.0,2310.0
0.0,0.0,0.0,0.25,0.0,-0.6,0.96212894,0.5,1.0,1.0,-0.33333334,0.6666667,0.0,0.0,1.0,0.0,0.75,1.0,1.1647941,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,-0.6666667,0.0,0.0,2.0,2.0,0.0,0.0,-0.5,1.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,0.0,1.0,0.0,1.0,0.0,4752.0
-3.0,0.85714287,0.3,-0.5,0.0,0.4,-0.3480041,2.0,1.0,1.0,-0.33333334,-0.33333334,0.0,-0.33333334,1.0,0.0,-0.75,0.0,0.8314608,1.0,2.0,0.0,0.0,-1.0,1.5,2.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,-1.0,0.0,-0.5,1.0,1408.0
-3.0,0.85714287,0.3,-0.75,0.0,0.4,-0.36438075,0.5,-2.0,0.0,-0.33333334,-0.33333334,-2.0,0.33333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,-2.0,0.0,-0.49438217,0.0,1.0,0.0,1.0,1.0,-1.0,0.0,-0.5,1.0,3168.0
0.0,0.0,-0.5,-0.25,0.0,0.4,-0.012282497,1.0,0.0,0.0,-0.33333334,-0.6666667,-2.0,0.0,-3.0,0.0,-1.5,1.0,0.8314608,-0.1685393,1.0,0.0,0.0,0.0,1.5,0.0,0.0,-1.0,-1.0,0.0,2.0,-1.0,0.0,0.0,0.0,-0.5,0.33333334,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.5,0.0,1584.0
-1.0,1.2857143,0.7,0.75,2.0,-0.6,1.8096213,0.5,0.0,0.0,-0.33333334,-0.33333334,-2.0,-0.33333334,0.0,-1.0,0.75,1.0,0.0,0.0,2.0,0.0,-1.0,-2.0,0.5,1.0,-1.0,0.0,-0.33333334,0.0,1.0,0.0,0.0,0.0,-1.2,0.0,1.0,3.0,0.0,1.0,-0.5,0.0,-1.0,3.0000005,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8448.0
-1.0,-0.14285715,-0.6,-0.5,0.0,0.4,-0.22517912,-0.5,0.0,0.0,0.0,-0.6666667,0.0,-0.33333334,0.0,0.0,0.0,0.0,0.0,-0.3333333,0.0,-1.0,-1.0,0.0,-0.5,-1.0,2.0,0.0,-0.33333334,0.0,0.0,-2.0,0.0,0.0,-1.6,0.0,-1.0,1.0,0.0,0.0,0.0,-2.0,0.0,-0.49438217,0.0,-2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2112.0
0.0,-0.14285715,-0.5,0.0,0.0,0.4,-0.24974412,0.5,0.0,0.0,0.0,0.33333334,0.0,-0.33333334,0.0,0.0,-0.25,1.0,0.8314608,0.0,1.0,0.0,0.0,-1.0,0.5,1.0,1.0,0.0,-1.3333334,0.0,0.0,0.0,1.0,0.0,0.0,-0.5,1.3333334,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-2.0,-1.0,-0.5,0.0,-1.0,0.0,-0.5,0.0,1056.0
