ProjID;Year of project;Organization id;Organization type;Role in organization;Size of organization;Size of IT department;Customer organization type;Estimated  duration;Actual duration;% project gain (loss);Development type;Application domain;Object points;Other sizing method;Estimated size;Estimated effort;Actual effort;Contract maturity;Government policy impact;Economic instability impact;Organization management structure clarity;Developer hiring policy;Developer incentives policy ;Developer training;Development team management;Top management support;Top management opinion of previous system;Clarity of manual system;User resistance;User computer experience; Users stability ; Requirment stability ; Requirements flexibility ;Project manager experience;Consultant availability;DBMS  expert availability;Precedentedness;Software tool experience;Programmers experience in programming language;Programmers capability ;Analysts capability ;Team selection;Team size;Dedicated team members;Daily working hours;Team contracts;Team continuity ;Team cohesion;Income satisfaction;Schedule quality;Development environment adequacy;Tool availability ;Methodology;# Multiple programing languages ;Programming language used;DBMS used;Technical stability;Open source software;Level of outsourcing;Outsourcing impact;Degree of software reuse ;Degree of risk management;Use of standards;Degree of standards usage; Process reengineering ;Requirement accuracy level;Technical documentation;Comments within the code;User manual;Required reusability;Performance requirements;Product complexity;Security requirements;Reliability requirements;Specified H/W
21;2015;7;5;2;5;6;4;6;9;-102%;4;2;1100;1;160236;50688;76032;4;5;4;1;1;4;1;4;4;1;4;3,5;3; 4,56 ; 3,70 ; 4,56 ;1;2;1;3;3;3;1;1;3;48;48;8;1;14,58333333;4;4;3;1;7;2;2;9;5;1;1;3;N/A;5;3;3;N/A; 1,89 ;1;3;3;2;2;1;2;2;4;2
22;2000;8;5;2;3;2;3;4;6;0%;1;1;350;2;N/A;6336;9504;1;3;1;1;1;3;2;3;4;0;4;2;2; 4,56 ; 1,16 ; 1,89 ;1;2;1;3;5;1;1;1;3;6;6;12;?;50;2;2;4;1;7;3;1;8;2;1;0;3;N/A;4;3;2;4; 1,44 ;1;4;3;4;4;1;2;5;4;2
23;2009;9;2;1;16;2;13;3;5;?;1;6;50;2;N/A;1584;2640;8;2;1;1;1;6;3;2;4;1;3;2,25;1; 1,89 ; 3,06 ; 3,22 ;1;3;1;2;1;2;1;1;3;3;3;8;1;0;3;2;2;1;8;1;1;1;1;1;1;3;N/A;5;3;3;N/A; 1,44 ;1;3;3;4;2;2;2;2;2;1
24;2008;8;5;2;4;2;3;4;4;?;1;1;350;2;N/A;6336;6336;1;3;1;1;2;4;2;3;4;0;4;3;2; 4,56 ; 1,16 ; 1,89 ;1;2;1;3;1;1;1;1;3;6;6;12;1;33,33333333;3;2;1;1;7;3;1;8;2;1;0;3;N/A;3;3;3;N/A; 1,44 ;1;4;3;4;4;1;1;5;4;2
25;2015;10;5;2;4;2;10;12;25;0%;1;7;50;2;N/A;6336;13200;3;3;2;2;1;6;3;5;1;0;3;2,75;1; 3,67 ; 2,98 ; 4,11 ;2;3;1;2;1;1;1;1;3;6;2;6;1;0;8;4;2;2;8;4;1;7;2;1;0;3;N/A;3;3;3;N/A; 1,44 ;2;2;3;2;2;1;1;3;4;1
26;2011;11;4;1;16;11;17;1;3;17%;4;2;80;2;N/A;264;792;4;3;1;2;1;5;2;3;1;1;4;2,5;1; 1,89 ; 1,00 ; 1,89 ;1;2;1;1;1;1;1;1;3;2;1;8;?;0;2;4;1;1;5;1;2;9;5;1;1;3;N/A;3;2;2;5; 1,44 ;1;2;3;4;3;1;2;4;4;3
27;2018;3;5;2;1;1;11;3;3;25%;1;2;200;2;N/A;1155;1155;5;5;2;1;3;6;2;5;4;1;4;2,5;1; 1,89 ; 1,16 ; 1,89 ;2;3;0;2;2;2;1;1;3;4;1;7;1;0;1;2;1;1;8;3;1;7;2;1;0;3;N/A;5;2;3;N/A; 1,44 ;1;4;4;4;4;1;1;3;1;2
28;2017;3;5;2;1;1;10;5;5;0%;3;2;230;2;N/A;1100;1100;5;5;3;1;2;5;1;3;4;1;4;2,25;2; 1,89 ; 1,32 ; 4,56 ;1;3;1;2;3;2;1;1;2;2;2;5;1;0;2;1;1;1;8;3;1;7;2;1;0;3;N/A;5;1;3;N/A; ? ;1;4;3;4;4;1;1;2;1;1
29;2009;3;5;1;1;1;10;5;24;0%;2;2;220;2;N/A;1100;5280;5;4;4;2;3;6;3;6;4;1;4;1,75;1; 4,56 ; 3,38 ; 1,89 ;1;3;1;3;1;1;1;1;2;2;0;10;1;0;2;3;2;1;8;3;1;7;2;1;0;3;N/A;4;3;3;N/A; 1,44 ;2;3;2;1;4;1;1;3;2;2
30;2013;5;5;2;2;2;2;20;22;20%;1;5;70;2;N/A;5280;5808;3;3;1;3;2;6;1;2;4;0;6;2,5;1; 1,89 ; 2,03 ; 1,44 ;1;2;1;4;5;1;1;1;3;2;1;8;1;0;3;3;1;1;8;1;1;8;3;1;0;3;N/A;3;3;3;N/A; 1,44 ;1;3;3;2;4;1;?;2;4;2
31;2006;5;5;2;2;2;2;3;7;0%;1;5;40;2;N/A;495;1155;4;3;1;2;2;5;3;3;5;0;3;1,75;1; 1,89 ; 3,30 ; 1,44 ;2;2;0;3;3;4;2;1;3;2;1;5;3;50;3;3;3;2;8;1;1;8;3;1;0;3;N/A;3;1;3;N/A; 4,11 ;3;3;2;2;4;2;2;2;3;1
32;2018;5;5;2;2;2;10;7;18;-100%;1;7;62;2;N/A;616;1584;4;3;1;1;2;5;3;3;4;1;8;4;1; 4,56 ; 4,81 ; 5,00 ;2;2;1;4;1;2;2;1;3;1;0;8;1;0;3;3;2;1;8;3;1;8;3;3;0;3;N/A;3;3;3;N/A; 4,11 ;2;2;2;2;1;2;3;2;1;1
33;2016;12;5;8;6;2;2;7;22;0%;4;2;511;2;N/A;9240;29040;1;3;5;?;?;?;?;?;4;0;6;4,5;2; 5,00 ; 3,38 ; 3,67 ;2;1;0;1;3;4;2;3;?;10;5;8;?;70;8;?;1;4;7;1;2;9;5;1;1;3;N/A;2;3;3;N/A; 4,11 ;4;1;2;2;5;2;?;2;1;2
34;2004;8;5;1;4;2;14;4;12;?;1;5;76;2;N/A;2112;6336;4;4;3;1;4;7;2;4;4;0;3;3,5;3; 4,11 ; 3,70 ; 1,44 ;1;1;0;2;2;2;2;1;3;3;3;8;1;0;4;5;2;1;8;1;1;3;2;2;1;1;3;4;3;3;N/A; 1,44 ;1;2;?;2;4;2;1;2;4;1
35;2015;21;7;1;17;12;10;6;12;N/A;1;3;7;5;55;1584;3168;6;4;2;3;4;8;3;11;4;1;7;2,75;3; 4,11 ; 2,90 ; 1,89 ;3;3;0;4;5;5;4;3;3;3;3;4;1;0;5;5;2;2;7;1;1;2;3;1;1;3;N/A;5;3;3;N/A; 2,33 ;1;1;1;1;4;1;4;2;4;1
36;2019;13;5;1;3;1;3;4;4;?;3;7;60;2;N/A;1056;1056;8;4;3;1;1;8;3;2;5;0;6;2,5;1; 1,89 ; 2,90 ; 1,44 ;1;3;0;2;5;1;2;2;3;2;1;8;?;0;2;4;1;1;8;4;1;6;1;1;1;3;N/A;4;1;1;5; 4,11 ;1;1;2;1;4;1;3;4;4;3
37;2012;11;4;1;16;11;10;12;18;-4%;3;2;530;2;N/A;25344;38016;4;3;1;1;1;4;1;2;4;1;6;2,25;1; 1,89 ; 1,48 ; 1,44 ;1;3;1;2;3;3;1;1;2;12;12;8;?;0;3;3;1;1;5;3;2;9;5;1;1;3;N/A;3;1;2;5; 2,33 ;1;3;4;4;2;3;2;3;4;2
38;2018;11;4;4;16;11;10;6;6;4%;3;2;350;2;N/A;8976;8976;4;3;1;1;1;2;3;2;4;0;4;2,25;2; 1,89 ; 1,00 ; 1,44 ;1;2;1;4;2;2;1;1;2;9;8;8;1;0;3;2;1;1;5;2;2;9;5;1;1;2;2;3;1;2;5; 1,44 ;1;4;4;4;2;2;2;3;2;2
39;2014;11;4;4;16;11;10;6;12;6%;1;2;380;2;N/A;10560;21120;4;3;1;1;1;4;1;2;4;0;6;2,25;1; 4,56 ; 2,90 ; 1,44 ;1;2;1;1;2;3;1;1;2;10;10;8;1;10;3;3;1;1;5;3;2;9;5;1;1;3;N/A;3;1;2;5; 1,44 ;1;2;3;4;2;3;2;3;2;1
40;2016;14;2;2;13;1;13;2;24;?;1;7;70;2;N/A;1056;12672;6;3;1;3;2;7;1;6;4;0;3;2;2; 1,89 ; 1,00 ; 1,44 ;2;3;1;3;1;1;1;1;3;3;3;8;?;66,66666667;3;3;4;1;8;1;1;7;2;1;0;3;N/A;5;3;3;N/A; 4,11 ;1;2;2;2;3;2;4;2;1;1
41;2009;14;2;2;16;4;13;12;36;-122%;1;7;30;2;N/A;5280;15840;4;5;4;1;3;6;1;3;4;1;2;3;1; 5,00 ; 3,38 ; 1,00 ;1;3;0;3;2;1;4;4;3;5;0;8;1;0;4;2;3;1;8;1;1;8;2;4;0;2;2;5;3;3;N/A; 1,00 ;2;2;1;1;1;3;3;2;4;2
42;2001;8;5;2;4;1;3;3;5;?;1;1;350;2;N/A;4752;7920;1;3;1;1;1;3;2;3;4;0;4;3,25;1; 4,56 ; 1,08 ; 1,44 ;1;2;1;3;2;2;1;1;3;6;6;12;1;33,33333333;3;2;4;1;7;3;1;8;2;1;0;3;N/A;3;3;2;4; 1,44 ;1;4;3;4;4;1;2;5;4;2
43;2017;13;5;2;3;1;10;6;7;0%;1;2;433;4;22;1056;1232;3;4;4;2;1;8;3;2;5;1;6;2,5;2; 4,56 ; 1,79 ; 1,44 ;1;3;0;4;3;3;2;3;3;2;0;8;1;50;6;4;2;1;8;2;2;9;1;1;1;3;N/A;3;3;3;N/A; 1,44 ;4;3;1;1;2;1;2;2;4;2
44;2015;13;5;2;3;1;1;7;7;?;1;3;30;2;N/A;3080;3080;8;4;1;3;1;7;3;6;2;1;?;3;3; 1,89 ; 2,43 ; 1,44 ;3;2;0;4;5;5;1;2;3;4;4;5;5;0;3;?;1;1;8;4;1;6;1;1;0;3;N/A;5;2;3;N/A; 1,44 ;3;4;2;1;1;1;1;1;1;1
45;2017;15;5;2;3;2;10;3;6;?;3;7;130;2;N/A;1650;3300;5;5;3;1;1;8;3;2;4;1;6;2,25;1; 4,11 ; 1,63 ; 3,67 ;1;1;0;4;2;1;2;1;2;5;5;5;1;40;3;3;3;1;8;3;1;3;2;1;0;3;N/A;5;3;3;N/A; 1,44 ;4;3;1;1;4;3;4;2;2;1
46;2016;11;4;2;16;11;10;6;12;3%;1;6;15;2;N/A;4620;9240;5;4;1;2;1;6;3;3;5;0;3;3,75;1; 1,89 ; 2,59 ; 4,56 ;2;3;0;3;3;3;4;2;3;5;5;7;1;40;6;3;3;1;4;3;1;6;1;1;0;1;3;5;3;3;N/A; 1,44 ;4;1;2;1;4;2;1;3;3;1
47;2018;11;4;2;16;11;5;6;11;4%;1;7;51;2;N/A;11088;20328;2;4;3;1;1;4;3;3;3;1;4;4;1; 5,00 ; 4,65 ; 4,56 ;2;2;0;3;2;1;2;1;2;12;12;7;1;0;4;2;1;2;4;2;1;6;1;1;0;3;N/A;3;2;3;N/A; 1,44 ;4;1;3;1;2;1;3;4;4;3
48;2017;11;4;2;16;11;4;4;6;6%;3;5;42;2;N/A;3696;5544;4;4;2;1;1;3;2;2;4;1;4;1,75;1; 4,56 ; 1,24 ; 4,56 ;1;2;1;3;2;2;1;1;2;6;6;7;1;0;1;2;1;1;4;2;1;6;5;1;0;3;N/A;3;2;3;N/A; 2,33 ;1;3;3;4;4;3;4;5;3;2
49;2012;11;4;2;16;11;10;0,25;0,5;45%;4;2;195;2;N/A;462;924;4;3;1;1;1;3;1;2;1;1;4;2;2; 1,89 ; 1,00 ; 1,89 ;1;1;1;4;3;4;1;1;2;6;6;14;1;0;2;3;1;1;5;1;2;9;5;1;1;3;N/A;1;1;2;5; 1,44 ;1;2;3;4;2;1;2;4;4;2
50;2012;11;4;2;16;11;1;0,25;0,5;12%;4;2;195;2;N/A;462;924;4;3;1;1;1;3;1;3;1;1;4;2;2; 1,89 ; 1,00 ; 1,89 ;1;2;1;1;3;4;1;1;2;6;6;14;1;0;2;3;1;1;5;1;2;9;5;1;1;3;N/A;1;1;2;5; 1,44 ;1;2;3;4;2;1;2;4;4;2
51;2016;11;4;2;16;11;17;3;11;9%;3;2;80;2;N/A;1584;5808;4;3;1;1;1;5;3;3;4;1;5;2,5;2; 1,89 ; 3,14 ; 4,56 ;1;3;0;1;1;1;1;1;3;3;3;8;?;0;3;3;1;1;4;2;1;10;5;1;1;3;N/A;3;3;2;5; ? ;1;3;4;4;2;2;2;3;2;2
52;2016;11;4;2;16;11;17;7;12;-1%;3;2;420;2;N/A;4928;8448;4;3;1;1;1;5;1;2;2;1;6;3,25;2; 1,89 ; 4,25 ; 1,89 ;3;3;0;1;2;2;1;1;3;4;4;8;?;0;3;3;1;1;4;2;1;10;5;1;1;3;N/A;2;3;2;5; 2,33 ;1;3;3;4;2;2;2;3;2;1
53;2012;11;4;2;16;11;10;1;1,5;41%;4;2;195;2;N/A;1540;2310;4;3;1;1;1;3;1;2;1;1;4;2;2; 1,89 ; 1,00 ; 1,89 ;1;2;1;1;3;4;1;1;2;6;4;14;?;0;2;3;1;1;4;1;1;10;5;1;1;3;N/A;1;1;2;5; 1,44 ;1;2;3;1;2;2;2;4;4;2
54;2017;13;5;1;3;2;10;6;18;-21%;1;2;333;2;N/A;1584;4752;5;4;5;2;1;8;3;3;5;1;5;3,25;2; 5,00 ; 1,95 ; 4,56 ;1;3;1;4;3;3;2;3;3;3;0;8;1;66,66666667;5;4;3;1;8;1;1;10;3;1;1;3;N/A;5;3;3;N/A; 1,44 ;1;3;1;1;3;1;3;2;4;1
55;2014;14;2;1;16;8;13;3;4;?;1;7;13;2;N/A;1056;1408;8;4;4;2;1;5;3;2;5;1;2;1,75;1; 4,11 ; 2,27 ; 4,56 ;3;3;1;2;5;4;1;1;3;2;2;8;1;0;2;3;1;1;8;1;1;7;2;1;0;3;N/A;4;3;3;N/A; 1,44 ;1;3;1;4;1;1;1;2;1;2
56;2005;14;2;1;16;8;13;2;6;-13%;1;7;9;2;N/A;1056;3168;5;1;1;1;1;5;1;4;4;1;5;2,5;2; 4,56 ; 1,00 ; 1,89 ;1;1;1;2;2;1;1;1;2;5;1;8;1;20;2;1;1;1;8;3;1;7;2;1;0;3;N/A;3;1;3;N/A; 1,00 ;1;4;4;4;4;2;1;2;1;2
57;2009;5;5;2;3;2;5;4;6;0%;1;7;95;2;N/A;1056;1584;6;3;1;1;1;4;1;3;1;1;4;1;2; 4,11 ; 1,63 ; 1,44 ;2;3;1;3;5;2;2;2;2;2;1;8;3;0;2;1;1;1;8;1;1;8;3;1;1;3;N/A;2;3;3;N/A; 1,44 ;1;3;3;1;4;1;1;2;3;1
58;2015;11;4;1;16;11;17;8;12;-1%;3;2;540;2;N/A;5632;8448;5;3;1;1;1;5;1;2;4;0;6;3,25;2; 1,89 ; 3,54 ; 1,89 ;3;3;0;1;3;3;1;1;3;4;4;8;?;0;3;3;1;1;5;2;1;10;5;1;1;3;N/A;3;3;2;5; 4,11 ;1;3;4;4;2;2;2;3;2;2
59;2017;42;4;2;3;1;4;3;3;0%;1;7;43;5;N/A;2112;2112;3;3;1;1;2;4;3;2;4;1;2;2,5;1; 1,89 ; 2,19 ; 1,00 ;1;2;0;3;1;1;4;4;3;4;4;8;1;0;1;2;1;1;4;2;1;4;3;1;0;3;N/A;4;1;3;N/A; 1,00 ;1;1;3;4;4;4;3;3;4;2
60;2007;5;5;2;3;1;5;5;6;?;1;7;37;2;N/A;880;1056;5;3;1;1;2;7;3;2;4;1;4;2,25;2; 4,11 ; 1,40 ; 1,89 ;2;3;1;2;3;3;3;2;3;1;1;8;1;0;3;2;2;1;8;1;1;11;3;1;1;3;N/A;5;3;3;N/A; 1,44 ;1;1;1;1;1;1;1;2;1;1
61;2010;16;5;2;7;2;10;15;12;0%;1;5;26;2;N/A;7920;6336;3;3;1;3;2;5;3;3;5;0;6;2,5;1; 4,11 ; 1,32 ; 1,89 ;1;3;0;1;1;1;1;1;2;4;2;8;2;0;2;3;1;1;8;1;1;11;3;2;0;3;N/A;3;3;3;N/A; 1,89 ;1;4;2;4;2;1;2;2;4;1
62;2017;5;5;2;4;2;2;2;3;?;1;3;17;2;N/A;352;528;5;3;1;1;1;6;1;3;3;1;4;1,25;1; 4,11 ; 2,11 ; 1,44 ;2;3;0;4;1;5;1;2;1;1;1;8;1;0;2;2;3;1;6;1;2;23;3;1;0;3;N/A;2;3;3;N/A; 1,44 ;1;1;1;1;2;1;2;5;4;2
63;2013;11;4;2;9;11;4;6;8;0%;1;5;10;2;N/A;6336;8448;1;1;1;1;1;4;?;4;4;1;3;1,75;1; 5,00 ; 3,46 ; 5,00 ;1;3;1;3;1;2;1;1;3;12;0;8;3;16,66666667;3;1;1;1;7;3;1;10;5;1;1;3;N/A;3;1;3;N/A; 1,00 ;1;4;4;4;4;1;1;2;2;2
64;2016;9;2;2;16;4;13;5;8;?;1;6;70;2;N/A;2640;4224;8;1;1;1;1;6;3;2;4;0;3;2,25;2; 4,11 ; 2,19 ; 4,11 ;1;2;1;2;2;2;1;1;3;3;3;8;1;0;3;2;3;1;8;1;1;1;1;1;1;3;N/A;2;3;3;N/A; 4,11 ;1;3;3;4;2;2;2;2;2;1
65;2011;17;3;2;7;3;14;6;9;0%;1;7;280;2;N/A;11616;17424;4;5;1;2;3;5;3;3;2;1;4;2;1; 4,56 ; 4,33 ; 1,44 ;1;2;1;4;2;4;1;1;3;11;11;8;1;18,18181818;4;1;1;1;8;3;1;12;2;1;0;1;1;1;3;3;N/A; 1,00 ;1;3;3;4;4;3;4;5;4;2
66;2006;18;5;2;7;2;5;12;18;?;1;7;14;2;N/A;14784;22176;3;4;2;1;2;3;2;2;4;1;3;2;1; 4,56 ; 3,22 ; 1,44 ;2;3;0;1;3;3;2;2;3;10;4;8;5;20;3;4;1;2;8;3;1;8;1;2;0;3;N/A;5;1;3;N/A; 1,44 ;1;3;3;2;4;2;1;2;3;2
67;2006;18;5;2;7;2;5;3;6;?;1;5;40;2;N/A;3960;7920;4;4;3;1;2;4;2;2;4;1;3;2;1; 4,56 ; 3,06 ; 1,44 ;1;3;0;2;3;3;2;2;3;10;5;8;3;20;2;4;1;1;8;3;1;8;1;1;0;3;N/A;5;1;3;N/A; 1,44 ;1;3;3;2;4;1;2;2;2;1
68;2014;7;5;1;5;6;4;10;16;?;2;2;250;2;N/A;17600;28160;4;3;1;2;4;4;2;5;4;1;4;2,75;1; 1,89 ; 3,54 ; 4,56 ;1;3;1;4;3;3;2;2;3;10;10;8;3;30;4;3;1;2;6;3;1;10;5;1;1;3;N/A;3;3;3;N/A; 1,00 ;1;4;2;4;2;2;2;2;1;2
69;2006;18;5;2;7;2;4;3;6;?;1;5;30;2;N/A;1848;3696;4;4;4;1;3;5;2;3;4;1;4;2,25;2; 4,56 ; 2,67 ; 1,89 ;1;3;0;3;3;2;2;2;3;5;2;8;2;40;3;4;3;2;8;1;1;8;1;1;0;3;N/A;5;1;2;6; 1,44 ;1;3;2;2;2;1;2;2;3;2
70;2018;19;8;2;9;1;13;18;24;?;1;2;?;2;N/A;3168;4224;3;4;2;1;1;8;3;3;5;1;5;3,75;2; 1,89 ; 4,25 ; 1,89 ;?;?;1;?;?;?;?;?;2;1;1;8;1;?;?;3;?;?;?;2;3;13;5;?;1;?;?;?;?;?;?; 1,44 ;?;?;?;?;?;?;?;?;?;?
